algorithm,omp_schedule,chunk,replication,time
stencil2d,dynamic,8,3,2.70633
mandelbrot,dynamic,8,4,1.22483
stencil2d,dynamic,8,4,2.66313
mandelbrot,dynamic,8,5,1.22445
stencil2d,dynamic,8,5,2.68664
mandelbrot,dynamic,8,6,1.25947
stencil2d,dynamic,8,6,2.68637
mandelbrot,dynamic,8,7,1.27064
stencil2d,dynamic,8,7,2.72224
mandelbrot,dynamic,8,8,1.22522
stencil2d,dynamic,8,8,2.68468
mandelbrot,dynamic,8,9,1.22571
stencil2d,dynamic,8,9,2.66134
mandelbrot,dynamic,8,10,1.2245
stencil2d,dynamic,8,10,2.66967
mandelbrot,dynamic,16,1,1.22693
stencil2d,dynamic,16,1,2.43758
mandelbrot,dynamic,16,2,1.22766
stencil2d,dynamic,16,2,2.42534
mandelbrot,dynamic,16,3,1.22839
stencil2d,dynamic,16,3,2.45323
mandelbrot,dynamic,16,4,1.22797
stencil2d,dynamic,16,4,2.46041
mandelbrot,dynamic,16,5,1.2473
stencil2d,dynamic,16,5,2.39174
mandelbrot,dynamic,16,6,1.25366
stencil2d,dynamic,16,6,2.44584
mandelbrot,dynamic,16,7,1.22719
stencil2d,dynamic,16,7,2.44945
mandelbrot,dynamic,16,8,1.22763
stencil2d,dynamic,16,8,2.49106
mandelbrot,dynamic,16,9,1.27605
stencil2d,dynamic,16,9,2.45558
mandelbrot,dynamic,16,10,1.22677
stencil2d,dynamic,16,10,2.46394
mandelbrot,dynamic,32,1,1.27192
stencil2d,dynamic,32,1,2.19662
mandelbrot,dynamic,32,2,1.27101
stencil2d,dynamic,32,2,2.17723
mandelbrot,dynamic,32,3,1.27955
stencil2d,dynamic,32,3,2.18706
mandelbrot,dynamic,32,4,1.46431
stencil2d,dynamic,32,4,2.19042
mandelbrot,dynamic,32,5,1.27214
stencil2d,dynamic,32,5,2.24516
mandelbrot,dynamic,32,6,1.2719
stencil2d,dynamic,32,6,2.1917
mandelbrot,dynamic,32,7,1.27227
stencil2d,dynamic,32,7,2.17916
mandelbrot,dynamic,32,8,1.2743
stencil2d,dynamic,32,8,2.18572
mandelbrot,dynamic,32,9,1.27304
stencil2d,dynamic,32,9,2.17377
mandelbrot,dynamic,32,10,1.274
stencil2d,dynamic,32,10,2.16689
mandelbrot,dynamic,64,1,1.61417
stencil2d,dynamic,64,1,1.96861
mandelbrot,dynamic,64,2,1.64642
stencil2d,dynamic,64,2,2.01289
mandelbrot,dynamic,64,3,1.6858
stencil2d,dynamic,64,3,1.97053
mandelbrot,dynamic,64,4,1.6195
stencil2d,dynamic,64,4,1.95944
mandelbrot,dynamic,64,5,1.61151
stencil2d,dynamic,64,5,1.96814
mandelbrot,dynamic,64,6,1.60492
stencil2d,dynamic,64,6,1.96999
mandelbrot,dynamic,64,7,1.61903
stencil2d,dynamic,64,7,1.96483
mandelbrot,dynamic,64,8,1.61922
stencil2d,dynamic,64,8,1.97588
mandelbrot,dynamic,64,9,1.60771
stencil2d,dynamic,64,9,1.94976
mandelbrot,dynamic,64,10,1.61579
stencil2d,dynamic,64,10,2.00998
mandelbrot,guided,1,1,2.57265
stencil2d,guided,1,1,1.9387
mandelbrot,guided,1,2,2.58045
stencil2d,guided,1,2,1.93154
mandelbrot,guided,1,3,2.56306
stencil2d,guided,1,3,1.94058
mandelbrot,guided,1,4,2.54424
stencil2d,guided,1,4,1.933
mandelbrot,guided,1,5,2.562
stencil2d,guided,1,5,1.9583
mandelbrot,guided,1,6,2.55877
stencil2d,guided,1,6,1.93971
mandelbrot,guided,1,7,2.62067
stencil2d,guided,1,7,1.97423
mandelbrot,guided,1,8,2.55646
stencil2d,guided,1,8,1.91477
mandelbrot,guided,1,9,2.58279
stencil2d,guided,1,9,1.89682
mandelbrot,guided,1,10,2.5835
stencil2d,guided,1,10,1.90059
mandelbrot,guided,2,1,2.5849
stencil2d,guided,2,1,1.94269
mandelbrot,guided,2,2,2.56278
stencil2d,guided,2,2,1.91784
mandelbrot,guided,2,3,2.5622
stencil2d,guided,2,3,1.90191
mandelbrot,guided,2,4,2.57471
stencil2d,guided,2,4,2.12757
mandelbrot,guided,2,5,2.56878
stencil2d,guided,2,5,1.93235
mandelbrot,guided,2,6,2.57903
stencil2d,guided,2,6,1.94664
mandelbrot,guided,2,7,2.57043
stencil2d,guided,2,7,1.91617
mandelbrot,guided,2,8,2.55786
stencil2d,guided,2,8,1.93301
mandelbrot,guided,2,9,2.54819
stencil2d,guided,2,9,1.9155
mandelbrot,guided,2,10,2.53996
stencil2d,guided,2,10,1.93345
mandelbrot,guided,4,1,2.58905
stencil2d,guided,4,1,1.94211
mandelbrot,guided,4,2,2.56204
stencil2d,guided,4,2,1.90794
mandelbrot,guided,4,3,2.5525
stencil2d,guided,4,3,1.9282
mandelbrot,guided,4,4,2.57813
stencil2d,guided,4,4,1.9271
mandelbrot,guided,4,5,2.54531
stencil2d,guided,4,5,1.92287
mandelbrot,guided,4,6,2.61734
stencil2d,guided,4,6,1.93827
mandelbrot,guided,4,7,2.56009
stencil2d,guided,4,7,1.92994
mandelbrot,guided,4,8,2.62434
stencil2d,guided,4,8,1.92295
mandelbrot,guided,4,9,2.57233
stencil2d,guided,4,9,1.92317
mandelbrot,guided,4,10,2.58685
stencil2d,guided,4,10,1.93247
mandelbrot,guided,8,1,2.53888
stencil2d,guided,8,1,1.92671
mandelbrot,guided,8,2,2.55351
stencil2d,guided,8,2,1.94633
mandelbrot,guided,8,3,2.55349
stencil2d,guided,8,3,1.91595
mandelbrot,guided,8,4,2.55937
stencil2d,guided,8,4,2.2339
mandelbrot,guided,8,5,2.54508
stencil2d,guided,8,5,1.90139
mandelbrot,guided,8,6,2.54901
stencil2d,guided,8,6,1.91434
mandelbrot,guided,8,7,2.54177
stencil2d,guided,8,7,1.98131
mandelbrot,guided,8,8,2.56171
stencil2d,guided,8,8,1.93393
mandelbrot,guided,8,9,2.54133
stencil2d,guided,8,9,1.93878
mandelbrot,guided,8,10,2.57476
stencil2d,guided,8,10,1.94684
mandelbrot,guided,16,1,2.59981
stencil2d,guided,16,1,2.15378
mandelbrot,guided,16,2,2.53192
stencil2d,guided,16,2,1.90577
mandelbrot,guided,16,3,2.56162
stencil2d,guided,16,3,1.93738
mandelbrot,guided,16,4,2.56194
stencil2d,guided,16,4,1.92985
mandelbrot,guided,16,5,2.54201
stencil2d,guided,16,5,1.92034
mandelbrot,guided,16,6,2.62275
stencil2d,guided,16,6,1.91935
mandelbrot,guided,16,7,2.55419
stencil2d,guided,16,7,1.90833
mandelbrot,guided,16,8,2.62719
stencil2d,guided,16,8,1.91689
mandelbrot,guided,16,9,2.54907
stencil2d,guided,16,9,1.94324
mandelbrot,guided,16,10,2.55141
stencil2d,guided,16,10,1.91599
mandelbrot,guided,32,1,2.56494
stencil2d,guided,32,1,1.92333
mandelbrot,guided,32,2,2.58017
stencil2d,guided,32,2,1.91561
mandelbrot,guided,32,3,2.56312
stencil2d,guided,32,3,1.919
mandelbrot,guided,32,4,2.56762
stencil2d,guided,32,4,2.05148
mandelbrot,guided,32,5,2.56728
stencil2d,guided,32,5,1.90298
mandelbrot,guided,32,6,2.57099
stencil2d,guided,32,6,1.91451
mandelbrot,guided,32,7,2.56786
stencil2d,guided,32,7,1.92083
mandelbrot,guided,32,8,2.56336
stencil2d,guided,32,8,1.91515
mandelbrot,guided,32,9,2.62461
stencil2d,guided,32,9,1.92307
mandelbrot,guided,32,10,2.54082
