algorithm,omp_proc_bind,omp_places,replication,time
mandelbrot,MASTER,threads,9,20.9382
stencil2d,MASTER,threads,9,22.5599
mandelbrot,MASTER,threads,10,20.954
stencil2d,MASTER,threads,10,22.5648
mandelbrot,CLOSE,sockets,1,1.2287
stencil2d,CLOSE,sockets,1,2.90067
mandelbrot,CLOSE,sockets,2,1.2268
stencil2d,CLOSE,sockets,2,2.90571
mandelbrot,CLOSE,sockets,3,1.22612
stencil2d,CLOSE,sockets,3,2.86033
mandelbrot,CLOSE,sockets,4,1.22509
stencil2d,CLOSE,sockets,4,2.88621
mandelbrot,CLOSE,sockets,5,1.22491
stencil2d,CLOSE,sockets,5,2.91988
mandelbrot,CLOSE,sockets,6,1.29147
stencil2d,CLOSE,sockets,6,2.89211
mandelbrot,CLOSE,sockets,7,1.22675
stencil2d,CLOSE,sockets,7,2.92768
mandelbrot,CLOSE,sockets,8,1.22583
stencil2d,CLOSE,sockets,8,2.88747
mandelbrot,CLOSE,sockets,9,1.22461
stencil2d,CLOSE,sockets,9,2.91051
mandelbrot,CLOSE,sockets,10,1.22542
stencil2d,CLOSE,sockets,10,2.92635
mandelbrot,CLOSE,cores,1,1.22594
stencil2d,CLOSE,cores,1,2.8729
mandelbrot,CLOSE,cores,2,1.22555
stencil2d,CLOSE,cores,2,2.93566
mandelbrot,CLOSE,cores,3,1.25179
stencil2d,CLOSE,cores,3,2.90685
mandelbrot,CLOSE,cores,4,1.23532
stencil2d,CLOSE,cores,4,2.90322
mandelbrot,CLOSE,cores,5,1.22538
stencil2d,CLOSE,cores,5,2.90364
mandelbrot,CLOSE,cores,6,1.22603
stencil2d,CLOSE,cores,6,2.90794
mandelbrot,CLOSE,cores,7,1.22628
stencil2d,CLOSE,cores,7,2.90472
mandelbrot,CLOSE,cores,8,1.22538
stencil2d,CLOSE,cores,8,2.8775
mandelbrot,CLOSE,cores,9,1.22581
stencil2d,CLOSE,cores,9,2.8876
mandelbrot,CLOSE,cores,10,1.23172
stencil2d,CLOSE,cores,10,2.92929
mandelbrot,CLOSE,threads,1,2.23957
stencil2d,CLOSE,threads,1,3.46991
mandelbrot,CLOSE,threads,2,2.17863
stencil2d,CLOSE,threads,2,3.46175
mandelbrot,CLOSE,threads,3,2.18319
stencil2d,CLOSE,threads,3,3.52298
mandelbrot,CLOSE,threads,4,2.18442
stencil2d,CLOSE,threads,4,3.52438
mandelbrot,CLOSE,threads,5,2.18529
stencil2d,CLOSE,threads,5,3.4608
mandelbrot,CLOSE,threads,6,2.18029
stencil2d,CLOSE,threads,6,3.53247
mandelbrot,CLOSE,threads,7,2.18066
stencil2d,CLOSE,threads,7,3.4641
mandelbrot,CLOSE,threads,8,2.19021
stencil2d,CLOSE,threads,8,3.48332
mandelbrot,CLOSE,threads,9,2.1841
stencil2d,CLOSE,threads,9,3.55254
mandelbrot,CLOSE,threads,10,2.18506
stencil2d,CLOSE,threads,10,3.46751
mandelbrot,SPREAD,sockets,1,1.23365
stencil2d,SPREAD,sockets,1,2.93086
mandelbrot,SPREAD,sockets,2,1.27219
stencil2d,SPREAD,sockets,2,2.90148
mandelbrot,SPREAD,sockets,3,1.22602
stencil2d,SPREAD,sockets,3,2.90733
mandelbrot,SPREAD,sockets,4,1.22512
stencil2d,SPREAD,sockets,4,2.92598
mandelbrot,SPREAD,sockets,5,1.22594
stencil2d,SPREAD,sockets,5,2.89531
mandelbrot,SPREAD,sockets,6,1.22548
stencil2d,SPREAD,sockets,6,2.89769
mandelbrot,SPREAD,sockets,7,1.22566
stencil2d,SPREAD,sockets,7,2.93154
mandelbrot,SPREAD,sockets,8,1.2261
stencil2d,SPREAD,sockets,8,2.91736
mandelbrot,SPREAD,sockets,9,1.25735
stencil2d,SPREAD,sockets,9,2.91285
mandelbrot,SPREAD,sockets,10,1.22612
stencil2d,SPREAD,sockets,10,2.9235
mandelbrot,SPREAD,cores,1,1.22722
stencil2d,SPREAD,cores,1,2.90147
mandelbrot,SPREAD,cores,2,1.22693
stencil2d,SPREAD,cores,2,2.91399
mandelbrot,SPREAD,cores,3,1.22634
stencil2d,SPREAD,cores,3,2.90771
mandelbrot,SPREAD,cores,4,1.22645
stencil2d,SPREAD,cores,4,2.88383
mandelbrot,SPREAD,cores,5,1.2262
stencil2d,SPREAD,cores,5,2.9281
mandelbrot,SPREAD,cores,6,1.25199
stencil2d,SPREAD,cores,6,2.93278
mandelbrot,SPREAD,cores,7,1.23819
stencil2d,SPREAD,cores,7,2.92623
mandelbrot,SPREAD,cores,8,1.22561
stencil2d,SPREAD,cores,8,2.91227
mandelbrot,SPREAD,cores,9,1.22638
stencil2d,SPREAD,cores,9,2.91723
mandelbrot,SPREAD,cores,10,1.22585
stencil2d,SPREAD,cores,10,2.92774
mandelbrot,SPREAD,threads,1,1.22753
stencil2d,SPREAD,threads,1,2.91855
mandelbrot,SPREAD,threads,2,1.22567
stencil2d,SPREAD,threads,2,2.91751
mandelbrot,SPREAD,threads,3,1.23233
stencil2d,SPREAD,threads,3,2.94911
mandelbrot,SPREAD,threads,4,1.25018
stencil2d,SPREAD,threads,4,2.88624
mandelbrot,SPREAD,threads,5,1.22565
stencil2d,SPREAD,threads,5,2.9109
mandelbrot,SPREAD,threads,6,1.22569
stencil2d,SPREAD,threads,6,2.92795
mandelbrot,SPREAD,threads,7,1.22672
stencil2d,SPREAD,threads,7,2.88825
mandelbrot,SPREAD,threads,8,1.22571
stencil2d,SPREAD,threads,8,2.90944
mandelbrot,SPREAD,threads,9,1.22569
stencil2d,SPREAD,threads,9,2.90106
mandelbrot,SPREAD,threads,10,1.22739
stencil2d,SPREAD,threads,10,2.92561
